movie_title,mcu_phase,release_date,imdb_rating,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,international_box_office,worldwide_box_office
Iron Man,1,5/2/2008,7.9,94,91,126,"186,000,000","102,118,668","318,604,126","266,273,701","584,877,827"
The Incredible Hulk,1,6/13/2008,6.6,67,70,112,"137,500,000","55,414,050","134,806,913","130,766,946","265,573,859"
Iron Man 2,1,5/7/2010,6.9,72,71,124,"170,000,000","128,122,480","312,433,331","308,723,058","621,156,389"
Thor,1,5/6/2011,7,77,76,113,"150,000,000","65,723,338","181,030,624","268,295,994","449,326,618"
Captain America: The First Avenger,1,7/22/2011,6.9,79,75,124,"140,000,000","65,058,524","176,654,505","193,915,271","370,569,776"
The Avengers,1,5/4/2012,8,91,91,143,"225,000,000","207,438,708","623,357,910","891,742,301","1,515,100,211"
Iron Man 3,2,5/3/2013,7.1,79,78,130,"200,000,000","174,144,585","408,992,272","805,638,684","1,214,630,956"
Thor: The Dark World,2,11/8/2013,6.7,66,75,111,"150,000,000","85,737,841","206,362,140","438,240,376","644,602,516"
Captain America: The Winter Soldier,2,4/4/2014,7.7,90,92,135,"170,000,000","95,023,721","259,746,958","454,654,931","714,401,889"
Guardians of the Galaxy,2,8/1/2014,8,92,92,121,"170,000,000","94,320,883","333,714,112","437,168,283","770,882,395"
Avengers: Age of Ultron,2,5/1/2015,7.3,76,83,141,"365,000,000","191,271,109","459,005,868","936,311,111","1,395,316,979"
Ant-Man,2,7/17/2015,7.2,83,85,117,"130,000,000","57,225,526","180,202,163","338,656,286","518,858,449"
Captain America: Civil War,3,5/6/2016,7.8,90,89,146,"250,000,000","179,139,142","408,084,349","743,815,237","1,151,899,586"
Doctor Strange,3,11/4/2016,7.5,89,86,115,"165,000,000","85,058,311","232,641,920","443,701,254","676,343,174"
Guardians of the Galaxy Vol. 2,3,5/5/2017,7.6,85,87,135,"200,000,000","146,510,104","389,813,101","479,274,862","869,087,963"
Spider-Man: Homecoming,3,7/7/2017,7.4,92,87,133,"175,000,000","117,027,503","334,580,976","544,271,773","878,852,749"
Thor: Ragnarok,3,11/3/2017,7.9,93,87,130,"180,000,000","122,744,989","315,058,289","535,424,489","850,482,778"
Black Panther,3,2/16/2018,7.3,96,79,134,"200,000,000","202,003,951","700,059,566","634,097,516","1,334,157,082"
Avengers: Infinity War,3,4/27/2018,8.4,85,91,149,"300,000,000","257,698,183","678,815,482","1,369,544,272","2,048,359,754"
Ant-Man and the Wasp,3,7/6/2018,7,87,81,118,"130,000,000","75,812,205","216,648,740","406,495,920","623,144,660"
Captain Marvel,3,3/8/2019,6.7,79,45,124,"175,000,000","153,433,423","426,829,839","702,746,255","1,129,576,094"
Avengers: Endgame,3,4/26/2019,8.4,94,90,181,"400,000,000","357,115,007","858,373,000","1,859,130,922","2,717,503,922"
Spider-Man: Far From Home,3,7/2/2019,7.4,90,95,129,"160,000,000","92,579,212","391,362,492","740,936,182","1,132,298,674"
Black Widow,4,7/9/2021,6.6,79,91,133,"200,000,000","80,366,312","183,651,655","196,099,476","379,751,131"
Shang-Chi and the Legend of the Ten Rings,4,9/3/2021,7.3,91,98,133,"150,000,000","75,388,688","224,543,292","207,681,342","432,224,634"
Eternals,4,11/5/2021,6.2,47,78,157,"200,000,000","71,297,219","164,870,264","236,861,495","401,731,759"
Spider-Man: No Way Home,4,12/17/2021,8.2,93,98,148,"200,000,000","260,138,569","814,811,535","1,106,395,051","1,921,206,586"
Doctor Strange in the Multiverse of Madness,4,5/6/2022,6.9,73,85,126,"200,000,000","187,420,998","411,331,607","540,893,379","952,224,986"
Thor: Love and Thunder,4,7/8/2022,6.2,63,76,125,"250,000,000","144,165,107","343,256,830","417,671,251","760,928,081"
Black Panther: Wakanda Forever,4,11/11/2022,6.6,84,93,161,"250,000,000","181,339,761","453,829,060","405,379,776","859,208,836"
Ant-Man and the Wasp: Quantumania,5,2/17/2023,6,46,81,124,"200,000,000","106,109,650","214,506,909","261,566,271","476,073,180"
Guardians of the Galaxy Vol. 3,5,5/5/2023,7.9,82,94,150,"250,000,000","118,414,021","358,995,815","486,559,962","845,555,777"
The Marvels,5,11/10/2023,5.5,62,79,105,"270,000,000","46,110,859","84,500,223","115,206,027","199,706,250"
Deadpool & Wolverine,5,7/26/2024,7.5,78,94,128,"200,000,000","211,435,291","636,745,858","701,325,490","1,338,071,348"
Captain America: Brave New World,5,2/14/2025,5.7,48,77,118,"180,000,000","88,842,603","200,500,001","213,140,020","413,640,021"
Thunderbolts*,5,5/2/2025,7.5,88,93,126,"180,000,000","74,300,608","189,493,120","191,874,174","381,367,294"
The Fantastic Four: First Steps,6,7/25/2025,,,,,,,,,
Spider-Man: Brand New Day,6,7/31/2026,,,,,,,,,
Avengers: Doomsday,6,12/18/2026,,,,,,,,,
Avengers: Secret Wars,6,12/17/2027,,,,,,,,,
